DATE,NONM1_PC1
1995-02-01,0.13358
1995-03-01,0.16022
1995-04-01,0.36029
1995-05-01,1.15088
1995-06-01,2.94518
1995-07-01,3.59406
1995-08-01,4.55906
1995-09-01,5.28137
1995-10-01,6.05398
1995-11-01,6.35012
1995-12-01,7.03416
1996-01-01,7.73156
1996-02-01,8.45855
1996-03-01,9.34704
1996-04-01,9.58071
1996-05-01,9.13958
1996-06-01,8.42254
1996-07-01,8.29987
1996-08-01,8.14595
1996-09-01,8.07085
1996-10-01,8.42221
1996-11-01,8.80752
1996-12-01,9.07266
1997-01-01,8.77490
1997-02-01,8.45223
1997-03-01,8.33447
1997-04-01,9.00340
1997-05-01,8.54514
1997-06-01,8.56600
1997-07-01,8.61070
1997-08-01,8.50810
1997-09-01,9.00533
1997-10-01,8.64920
1997-11-01,8.34058
1997-12-01,8.13118
1998-01-01,8.28365
1998-02-01,8.70441
1998-03-01,8.92874
1998-04-01,8.89616
1998-05-01,9.11741
1998-06-01,9.45819
1998-07-01,9.50332
1998-08-01,9.55117
1998-09-01,9.73274
1998-10-01,9.97634
1998-11-01,10.60476
1998-12-01,10.85557
1999-01-01,10.75590
1999-02-01,10.68823
1999-03-01,9.87683
1999-04-01,9.71974
1999-05-01,9.72767
1999-06-01,9.68041
1999-07-01,9.77943
1999-08-01,9.56142
1999-09-01,8.91734
1999-10-01,8.30501
1999-11-01,7.71990
1999-12-01,7.19753
2000-01-01,7.50105
2000-02-01,7.37370
2000-03-01,7.97752
2000-04-01,8.49369
2000-05-01,8.03463
2000-06-01,7.72912
2000-07-01,7.30452
2000-08-01,7.65879
2000-09-01,8.05864
2000-10-01,8.22530
2000-11-01,8.14013
2000-12-01,8.86937
2001-01-01,9.33031
2001-02-01,9.49445
2001-03-01,9.91920
2001-04-01,10.18500
2001-05-01,9.91918
2001-06-01,10.21758
2001-07-01,10.29246
2001-08-01,10.00310
2001-09-01,10.12163
2001-10-01,10.60870
2001-11-01,11.15793
2001-12-01,11.01145
2002-01-01,9.93294
2002-02-01,9.76340
2002-03-01,8.67807
2002-04-01,7.33300
2002-05-01,8.05120
2002-06-01,7.43329
2002-07-01,7.91949
2002-08-01,8.80693
2002-09-01,7.95055
2002-10-01,7.77896
2002-11-01,7.92686
2002-12-01,7.13695
2003-01-01,7.45384
2003-02-01,7.19870
2003-03-01,7.45239
2003-04-01,7.80713
2003-05-01,8.23447
2003-06-01,8.47833
2003-07-01,8.40115
2003-08-01,8.01908
2003-09-01,7.29884
2003-10-01,6.15826
2003-11-01,4.92313
2003-12-01,4.71693
2004-01-01,4.10546
2004-02-01,4.10221
2004-03-01,4.30749
2004-04-01,4.51065
2004-05-01,5.08094
2004-06-01,4.56567
2004-07-01,4.00707
2004-08-01,3.18052
2004-09-01,4.18038
2004-10-01,4.87237
2004-11-01,5.56982
2004-12-01,5.91489
2005-01-01,5.92080
2005-02-01,5.73387
2005-03-01,5.21351
2005-04-01,4.95983
2005-05-01,3.60847
2005-06-01,4.00305
2005-07-01,4.38373
2005-08-01,4.80674
2005-09-01,4.91617
2005-10-01,5.10875
2005-11-01,4.97374
2005-12-01,5.11644
2006-01-01,5.80842
2006-02-01,6.07164
2006-03-01,6.18099
2006-04-01,6.13729
2006-05-01,6.16331
2006-06-01,6.71908
2006-07-01,6.80803
2006-08-01,6.76975
2006-09-01,6.68723
2006-10-01,6.88540
2006-11-01,7.17902
2006-12-01,7.38049
2007-01-01,7.43055
2007-02-01,7.31886
2007-03-01,7.50793
2007-04-01,8.17638
2007-05-01,8.17718
2007-06-01,7.99256
2007-07-01,7.71994
2007-08-01,8.42776
2007-09-01,7.98624
2007-10-01,7.48243
2007-11-01,7.31719
2007-12-01,7.05241
2008-01-01,6.73392
2008-02-01,7.73892
2008-03-01,8.26328
2008-04-01,7.88040
2008-05-01,7.73584
2008-06-01,7.12860
2008-07-01,7.07824
2008-08-01,6.22183
2008-09-01,6.21873
2008-10-01,7.65510
2008-11-01,6.86536
2008-12-01,8.05837
2009-01-01,9.18322
2009-02-01,8.51627
2009-03-01,8.45161
2009-04-01,7.11421
2009-05-01,7.85402
2009-06-01,7.40271
2009-07-01,6.83784
2009-08-01,6.31585
2009-09-01,6.07412
2009-10-01,4.53077
2009-11-01,5.13589
2009-12-01,3.43319
2010-01-01,1.37382
2010-02-01,1.13038
2010-03-01,0.07585
2010-04-01,1.19909
2010-05-01,0.97264
2010-06-01,1.31503
2010-07-01,1.53388
2010-08-01,2.02298
2010-09-01,2.27197
2010-10-01,2.51220
2010-11-01,1.97335
2010-12-01,2.32417
2011-01-01,3.06730
2011-02-01,2.99967
2011-03-01,3.54826
2011-04-01,3.61290
2011-05-01,3.33694
2011-06-01,4.08803
2011-07-01,5.79595
2011-08-01,7.11144
2011-09-01,7.17896
2011-10-01,6.87033
2011-11-01,7.30982
2011-12-01,7.54778
2012-01-01,8.00329
2012-02-01,8.03536
2012-03-01,8.03781
2012-04-01,7.79180
2012-05-01,7.80778
2012-06-01,7.58349
2012-07-01,6.21779
2012-08-01,5.06354
2012-09-01,5.01945
2012-10-01,5.56105
2012-11-01,6.09218
2012-12-01,6.60677
2013-01-01,6.28541
2013-02-01,5.67409
2013-03-01,6.13520
2013-04-01,5.80642
2013-05-01,5.75617
2013-06-01,5.52618
2013-07-01,5.79130
2013-08-01,5.85778
2013-09-01,5.86904
2013-10-01,6.13024
2013-11-01,5.46662
2013-12-01,4.68012
2014-01-01,4.69208
2014-02-01,5.32218
2014-03-01,4.69300
2014-04-01,4.99071
2014-05-01,5.30713
2014-06-01,5.24135
2014-07-01,5.00303
2014-08-01,5.08487
2014-09-01,4.71740
2014-10-01,4.44758
2014-11-01,4.29303
2014-12-01,4.56935
2015-01-01,4.88599
2015-02-01,5.01372
2015-03-01,5.19248
2015-04-01,5.31432
2015-05-01,5.11190
2015-06-01,5.14375
2015-07-01,5.02085
2015-08-01,4.72335
2015-09-01,5.45555
2015-10-01,5.41581
2015-11-01,5.81971
2015-12-01,5.89911
2016-01-01,6.13585
2016-02-01,6.49127
2016-03-01,6.49725
2016-04-01,6.34695
2016-05-01,6.29295
2016-06-01,6.65208
2016-07-01,6.67589
2016-08-01,6.63535
2016-09-01,6.62684
2016-10-01,6.47542
2016-11-01,6.75624
2016-12-01,6.65643
2017-01-01,5.99861
2017-02-01,5.59341
2017-03-01,5.59497
2017-04-01,5.41656
2017-05-01,5.31510
2017-06-01,4.85147
2017-07-01,4.58796
2017-08-01,4.42027
2017-09-01,4.40749
2017-10-01,4.20723
2017-11-01,3.57828
2017-12-01,3.64641
2018-01-01,3.35809
2018-02-01,3.36356
2018-03-01,3.13750
2018-04-01,3.30730
2018-05-01,3.74811
2018-06-01,4.15610
2018-07-01,4.15070
2018-08-01,4.32172
2018-09-01,3.64486
2018-10-01,3.51831
2018-11-01,3.79162
2018-12-01,3.69487
2019-01-01,4.73201
2019-02-01,4.15781
2019-03-01,4.68911
2019-04-01,4.43243
2019-05-01,4.50571
2019-06-01,4.44930
2019-07-01,5.04920
2019-08-01,5.28804
2019-09-01,5.80191
2019-10-01,6.66465
2019-11-01,7.05621
2019-12-01,6.90634
2020-01-01,6.92324
2020-02-01,6.77652
2020-03-01,8.57269
2020-04-01,13.01793
2020-05-01,17.69369
2020-06-01,18.60867
2020-07-01,18.42295
2020-08-01,17.26631
2020-09-01,18.25899
